x,y,z,v
-10,20,13,3
-10,21,13,0
-10,22,13,0
-10,23,13,0
-10,24,13,0
-10,25,13,0
-10,26,13,0
-10,27,13,0
-10,28,13,0
-10,29,13,0
-10,30,13,0
-10,31,13,0
-10,32,13,0
-10,33,13,0
-10,34,13,0
-10,35,13,0
-10,36,13,0
-10,37,13,0
-10,38,13,0
-10,39,13,0
-9,39,13,0
-9,38,13,0
-9,37,13,0
-9,36,13,0
-9,35,13,0
-9,34,13,0
-9,33,13,0
-9,32,13,0
-9,31,13,0
-9,30,13,0
-9,29,13,0
-9,28,13,0
-9,27,13,0
-9,26,13,0
-9,25,13,0
-9,24,13,0
-9,23,13,0
-9,22,13,0
-9,21,13,0
-9,20,13,0
-9,19,13,20
-9,18,13,20
-9,17,13,20
-9,16,13,20
-9,15,13,20
-9,14,13,20
-9,13,13,20
-9,12,13,20
-9,11,13,20
-9,10,13,20
-9,9,13,20
-9,8,13,20
-9,7,13,20
-9,6,13,20
-9,5,13,20
-9,4,13,20
-9,3,13,20
-9,2,13,20
-9,1,13,20
-9,0,13,20
-8,0,13,20
-8,1,13,20
-8,2,13,20
-8,3,13,20
-8,4,13,20
-8,5,13,20
-8,6,13,20
-8,7,13,20
-8,8,13,20
-8,9,13,20
-8,10,13,20
-8,11,13,20
-8,12,13,20
-8,13,13,20
-8,14,13,20
-8,15,13,20
-8,16,13,20
-8,17,13,20
-8,18,13,20
-8,19,13,20
-8,20,13,0
-8,21,13,0
-8,22,13,0
-8,23,13,0
-8,24,13,0
-8,25,13,0
-8,26,13,0
-8,27,13,0
-8,28,13,0
-8,29,13,0
-8,30,13,0
-8,31,13,0
-8,32,13,0
-8,33,13,0
-8,34,13,0
-8,35,13,0
-8,36,13,0
-8,37,13,0
-8,38,13,0
-8,39,13,0
-7,39,13,0
-7,38,13,0
-7,37,13,0
-7,36,13,0
-7,35,13,0
-7,34,13,0
-7,33,13,0
-7,32,13,0
-7,31,13,0
-7,30,13,0
-7,29,13,0
-7,28,13,0
-7,27,13,0
-7,26,13,0
-7,25,13,0
-7,24,13,0
-7,23,13,0
-7,22,13,0
-7,21,13,0
-7,20,13,0
-7,19,13,6
-7,18,13,20
-7,17,13,20
-7,16,13,20
-7,15,13,20
-7,14,13,20
-7,13,13,20
-7,12,13,20
-7,11,13,20
-7,10,13,20
-7,9,13,20
-7,8,13,20
-7,7,13,20
-7,6,13,20
-7,5,13,20
-7,4,13,20
-7,3,13,20
-7,2,13,20
-7,1,13,20
-7,0,13,20
-6,0,13,20
-6,1,13,20
-6,2,13,20
-6,3,13,20
-6,4,13,20
-6,5,13,20
-6,6,13,20
-6,7,13,20
-6,8,13,20
-6,9,13,20
-6,10,13,20
-6,11,13,20
-6,12,13,20
-6,13,13,20
-6,14,13,20
-6,15,13,20
-6,16,13,20
-6,17,13,20
-6,18,13,20
-6,19,13,0
-6,20,13,0
-6,21,13,0
-6,22,13,0
-6,23,13,0
-6,24,13,0
-6,25,13,0
-6,26,13,0
-6,27,13,0
-6,28,13,0
-6,29,13,0
-6,30,13,0
-6,31,13,0
-6,32,13,0
-6,33,13,0
-6,34,13,0
-6,35,13,0
-6,36,13,0
-6,37,13,0
-6,38,13,0
-6,39,13,0
-5,39,13,0
-5,38,13,0
-5,37,13,0
-5,36,13,0
-5,35,13,0
-5,34,13,0
-5,33,13,0
-5,32,13,0
-5,31,13,0
-5,30,13,0
-5,29,13,0
-5,28,13,0
-5,27,13,0
-5,26,13,0
-5,25,13,0
-5,24,13,0
-5,23,13,0
-5,22,13,0
-5,21,13,0
-5,20,13,0
-5,19,13,0
-5,18,13,18
-5,17,13,20
-5,16,13,20
-5,15,13,20
-5,14,13,20
-5,13,13,20
-5,12,13,20
-5,11,13,20
-5,10,13,20
-5,9,13,20
-5,8,13,20
-5,7,13,20
-5,6,13,20
-5,5,13,20
-5,4,13,20
-5,3,13,20
-5,2,13,20
-5,1,13,20
-5,0,13,20
-4,0,13,20
-4,1,13,20
-4,2,13,20
-4,3,13,20
-4,4,13,20
-4,5,13,20
-4,6,13,20
-4,7,13,20
-4,8,13,20
-4,9,13,20
-4,10,13,20
-4,11,13,20
-4,12,13,20
-4,13,13,20
-4,14,13,20
-4,15,13,20
-4,16,13,20
-4,17,13,20
-4,18,13,0
-4,19,13,0
-4,20,13,0
-4,21,13,0
-4,22,13,0
-4,23,13,0
-4,24,13,0
-4,25,13,0
-4,26,13,0
-4,27,13,0
-4,28,13,0
-4,29,13,0
-4,30,13,0
-4,31,13,0
-4,32,13,0
-4,33,13,0
-4,34,13,0
-4,35,13,0
-4,36,13,0
-4,37,13,0
-4,38,13,0
-4,39,13,0
-3,39,13,0
-3,38,13,0
-3,37,13,0
-3,36,13,0
-3,35,13,0
-3,34,13,0
-3,33,13,0
-3,32,13,0
-3,31,13,0
-3,30,13,0
-3,29,13,0
-3,28,13,0
-3,27,13,0
-3,26,13,0
-3,25,13,0
-3,24,13,0
-3,23,13,0
-3,22,13,0
-3,21,13,0
-3,20,13,0
-3,19,13,0
-3,18,13,0
-3,17,13,8
-3,16,13,20
-3,15,13,20
-3,14,13,20
-3,13,13,20
-3,12,13,20
-3,11,13,20
-3,10,13,20
-3,9,13,20
-3,8,13,20
-3,7,13,20
-3,6,13,20
-3,5,13,20
-3,4,13,20
-3,3,13,20
-3,2,13,20
-3,1,13,20
-3,0,13,20
-2,0,13,20
-2,1,13,20
-2,2,13,20
-2,3,13,20
-2,4,13,20
-2,5,13,20
-2,6,13,20
-2,7,13,20
-2,8,13,20
-2,9,13,20
-2,10,13,20
-2,11,13,20
-2,12,13,20
-2,13,13,20
-2,14,13,20
-2,15,13,20
-2,16,13,20
-2,17,13,0
-2,18,13,0
-2,19,13,0
-2,20,13,0
-2,21,13,0
-2,22,13,0
-2,23,13,0
-2,24,13,0
-2,25,13,0
-2,26,13,0
-2,27,13,0
-2,28,13,0
-2,29,13,0
-2,30,13,0
